month,Pop,PfPR U5,year,Run_Number,Habitat_Multiplier,admin_name
12,1028.366666667,0.0,2013,0,0.025118864315095794,AA
1,1023.066666667,0.0,2014,0,0.025118864315095794,AA
2,1020.366666667,0.0,2014,0,0.025118864315095794,AA
3,1024.3,0.0,2014,0,0.025118864315095794,AA
4,1019.733333333,0.0,2014,0,0.025118864315095794,AA
5,1020.566666667,0.0,2014,0,0.025118864315095794,AA
6,1020.1,0.0,2014,0,0.025118864315095794,AA
7,1020.766666667,0.0,2014,0,0.025118864315095794,AA
8,1024.066666667,0.0,2014,0,0.025118864315095794,AA
9,1022.0,0.0,2014,0,0.025118864315095794,AA
10,1011.533333333,0.0,2014,0,0.025118864315095794,AA
11,1005.5,0.0,2014,0,0.025118864315095794,AA
12,999.0666666667,0.0,2014,0,0.025118864315095794,AA
1,1007.2,0.0,2015,0,0.025118864315095794,AA
2,1007.933333333,0.0,2015,0,0.025118864315095794,AA
3,1012.566666667,0.0,2015,0,0.025118864315095794,AA
4,1012.833333333,0.0,2015,0,0.025118864315095794,AA
5,1013.266666667,0.0,2015,0,0.025118864315095794,AA
6,1009.966666667,0.0,2015,0,0.025118864315095794,AA
7,1007.333333333,0.0,2015,0,0.025118864315095794,AA
8,1011.666666667,0.0,2015,0,0.025118864315095794,AA
9,1024.2,0.0,2015,0,0.025118864315095794,AA
10,1020.4,0.0,2015,0,0.025118864315095794,AA
11,1024.6,0.0,2015,0,0.025118864315095794,AA
12,1030.233333333,0.0,2015,0,0.025118864315095794,AA
1,1025.966666667,0.0,2016,0,0.025118864315095794,AA
2,1027.7,0.0,2016,0,0.025118864315095794,AA
3,1022.766666667,0.0,2016,0,0.025118864315095794,AA
4,1018.366666667,0.0,2016,0,0.025118864315095794,AA
5,1018.433333333,0.0,2016,0,0.025118864315095794,AA
6,1015.9,0.0,2016,0,0.025118864315095794,AA
7,1019.133333333,0.0,2016,0,0.025118864315095794,AA
8,1011.933333333,0.0,2016,0,0.025118864315095794,AA
9,1022.266666667,0.0,2016,0,0.025118864315095794,AA
10,1035.166666667,0.0,2016,0,0.025118864315095794,AA
11,1049.1,0.0,2016,0,0.025118864315095794,AA
12,1046.5,0.0,2016,0,0.025118864315095794,AA
1,1044.3,0.0,2017,0,0.025118864315095794,AA
2,1034.9,0.0,2017,0,0.025118864315095794,AA
3,1041.4,0.0,2017,0,0.025118864315095794,AA
4,1044.9,0.0,2017,0,0.025118864315095794,AA
5,1036.3,0.0,2017,0,0.025118864315095794,AA
6,1031.066666667,0.0,2017,0,0.025118864315095794,AA
7,1031.666666667,0.0,2017,0,0.025118864315095794,AA
8,1029.266666667,0.0,2017,0,0.025118864315095794,AA
9,1033.433333333,0.0,2017,0,0.025118864315095794,AA
10,1041.733333333,0.0,2017,0,0.025118864315095794,AA
11,1039.433333333,0.0,2017,0,0.025118864315095794,AA
12,1040.766666667,0.0,2017,0,0.025118864315095794,AA
1,981.4333333333,0.001494412933465,2010,0,0.025118864315095794,CC
2,984.0666666667,0.001219429577942,2010,0,0.025118864315095794,CC
3,988.6666666667,0.001213755900202,2010,0,0.025118864315095794,CC
4,993.2333333333,0.0005705272342853,2010,0,0.025118864315095794,CC
5,1000.0,0.0,2010,0,0.025118864315095794,CC
6,995.4333333333,0.0,2010,0,0.025118864315095794,CC
7,997.7,0.0,2010,0,0.025118864315095794,CC
